"especies"
"Caluromysiops irrupta"
"Dermanura phaeotis"
"Anoura caudifer"
"Anoura geoffroyi"
"Artibeus concolor"
"Artibeus fimbriatus"
"Artibeus lituratus"
"Artibeus planirostris"
"Carollia perspicillata"
"Choeroniscus minor"
"Dryadonycteris capixaba"
"Gardnerycteris crenulatum"
"Glossophaga commissarisi"
"Glossophaga longirostris"
"Glossophaga soricina"
"Lampronycteris brachyotis"
"Lichonycteris degener"
"Lionycteris spurrelli"
"Lonchophylla bokermanni"
"Lonchophylla dekeyseri"
"Lonchophylla mordax"
"Lonchophylla peracchii"
"Lonchophylla thomasi"
"Lophostoma silvicolum"
"Mesophylla macconnelli"
"Phyllostomus discolor"
"Phyllostomus elongatus"
"Phyllostomus hastatus"
"Phyllostomus latifolius"
"Platyrrhinus lineatus"
"Scleronycteris ega"
"Sturnira lilium"
"Uroderma bilobatum"
"Uroderma magnirostrum"
"Vampyrodes caraccioli"
"Xeronycteris vieirai"
"Bibimys labiosus"
"Blarinomys breviceps"
"Brucepattersonius griserufescens"
"Brucepattersonius igniventris"
"Brucepattersonius iheringi"
"Brucepattersonius soricinus"
"Clyomys laticeps"
"Euryzygomatomys spinosus"
"Juscelinomys candango"
"Kunsia tomentosus"
"Oxymycterus amazonicus"
"Oxymycterus angularis"
"Oxymycterus caparoae"
"Oxymycterus dasytrichus"
"Oxymycterus delator"
"Oxymycterus hispidus"
"Oxymycterus nasutus"
"Oxymycterus quaestor"
"Oxymycterus roberti"
"Oxymycterus rufus"
"Podoxymys roraimae"
"Didelphis imperfecta"
"Hyladelphys kalinowskii"
"Marmosa constantiae"
"Marmosa demerarae"
"Marmosa lepida"
"Marmosa murina"
"Marmosa paraguayana"
"Marmosa regina"
"Marmosops bishopi"
"Marmosops caucae"
"Marmosops impavidus"
"Marmosops incanus"
"Marmosops neblina"
"Marmosops noctivagus"
"Marmosops ocellatus"
"Marmosops parvidens"
"Marmosops paulensis"
"Oligoryzomys chacoensis"
"Oligoryzomys delticola"
"Oligoryzomys eliurus"
"Oligoryzomys flavescens"
"Oligoryzomys fornesi"
"Oligoryzomys fulvescens"
"Oligoryzomys microtis"
"Oligoryzomys moojeni"
"Oligoryzomys nigripes"
"Oligoryzomys rupestris"
"Oligoryzomys stramineus"
"Philander andersoni"
"Philander frenatus"
"Philander mcilhennyi"
"Philander opossum"
"Rhagomys rufescens"
"Thylamys karimii"
"Thylamys macrurus"
"Thylamys velutinus"
"Wiedomys pyrrhorhinos"
"Pecari tajacu"
"Tayassu pecari"
"Abrawayaomys ruschii"
"Akodon azarae"
"Akodon cursor"
"Akodon lindberghi"
"Akodon mystax"
"Akodon paranaensis"
"Akodon reigi"
"Akodon sanctipaulensis"
"Akodon serrensis"
"Atelocynus microtis"
"Calomys callosus"
"Calomys expulsus"
"Calomys hummelincki"
"Calomys laucha"
"Calomys tener"
"Calomys tocantinsi"
"Cerradomys maracajuensis"
"Cerradomys marinhus"
"Cerradomys scotti"
"Cerradomys subflavus"
"Chironectes minimus"
"Delomys collinus"
"Delomys dorsalis"
"Delomys sublineatus"
"Deltamys kempi"
"Drymoreomys albimaculatus"
"Euryoryzomys emmonsae"
"Euryoryzomys lamia"
"Euryoryzomys macconnelli"
"Euryoryzomys nitidus"
"Euryoryzomys russatus"
"Galea spixii"
"Graomys griseoflavus"
"Herpailurus yagouaroundi"
"Holochilus brasiliensis"
"Holochilus sciureus"
"Hylaeamys laticeps"
"Hylaeamys megacephalus"
"Hylaeamys oniscus"
"Hylaeamys perenensis"
"Hylaeamys yunganus"
"Isothrix sinnamariensis"
"Lundomys molitor"
"Lutreolina crassicaudata"
"Metachirus nudicaudatus"
"Microakodontomys transitorius"
"Monodelphis americana"
"Monodelphis brevicaudata"
"Monodelphis dimidiata"
"Monodelphis domestica"
"Monodelphis emiliae"
"Monodelphis glirina"
"Monodelphis iheringi"
"Monodelphis kunsi"
"Monodelphis scalops"
"Monodelphis unistriata"
"Neacomys dubosti"
"Neacomys minutus"
"Neacomys musseri"
"Neacomys paracou"
"Neacomys spinosus"
"Necromys lasiurus"
"Necromys lenguarum"
"Necromys urichi"
"Nectomys apicalis"
"Nectomys rattus"
"Nectomys squamipes"
"Neusticomys ferreirai"
"Neusticomys oyapocki"
"Proechimys brevicauda"
"Proechimys cuvieri"
"Proechimys echinothrix"
"Proechimys gardneri"
"Proechimys goeldii"
"Proechimys guyannensis"
"Proechimys hoplomyoides"
"Proechimys kulinae"
"Proechimys longicaudatus"
"Proechimys pattoni"
"Proechimys quadruplicatus"
"Proechimys roberti"
"Proechimys simonsi"
"Proechimys steerei"
"Pseudoryzomys simplex"
"Reithrodon typicus"
"Scapteromys tumidus"
"Scolomys ucayalensis"
"Sigmodon alstoni"
"Sooretamys angouya"
"Speothos venaticus"
"Thalpomys cerradensis"
"Thalpomys lasiotis"
"Thaptomys nigrita"
"Thrichomys apereoides"
"Thrichomys inermis"
"Thrichomys laurentius"
"Thrichomys pachyurus"
"Trinomys albispinus"
"Trinomys dimidiatus"
"Trinomys eliasi"
"Trinomys gratiosus"
"Trinomys iheringi"
"Trinomys mirapitanga"
"Trinomys moojeni"
"Trinomys paratus"
"Trinomys setosus"
"Trinomys yonenagae"
"Zygodontomys brevicauda"
"Ctenomys boliviensis"
"Ctenomys ibicuiensis"
"Ctenomys lami"
"Ctenomys minutus"
"Ctenomys torquatus"
"Carterodon sulcidens"
"Callistomys pictus"
"Cryptonanus agricolai"
"Cryptonanus chacoensis"
"Cryptonanus guahybae"
"Dactylomys boliviensis"
"Dactylomys dactylinus"
"Dermanura anderseni"
"Dermanura cinerea"
"Dermanura glauca"
"Dermanura gnoma"
"Echimys chrysurus"
"Echimys vieirai"
"Glironia venusta"
"Gracilinanus agilis"
"Gracilinanus emiliae"
"Gracilinanus microtarsus"
"Isothrix bistriata"
"Isothrix negrensis"
"Isothrix pagurus"
"Juliomys pictipes"
"Juliomys rimofrons"
"Kannabateomys amblyonyx"
"Lonchothrix emiliae"
"Makalata didelphoides"
"Makalata macrura"
"Marmosops pinheiroi"
"Mesomys hispidus"
"Mesomys occultus"
"Mesomys stimulax"
"Oecomys auyantepui"
"Oecomys bicolor"
"Oecomys catherinae"
"Oecomys cleberi"
"Oecomys concolor"
"Oecomys mamorae"
"Oecomys paricola"
"Oecomys rex"
"Oecomys roberti"
