order,family,species,synonyms,common_names,Phytogeographic_domains,countries,realm,redlistCategory,yearPublished_IUCN,habitats_categories,populationTrend,density_n_km2_Soria_et_al_2021,Endemic_BR,Restricted_Range,dispersal_km,home_range,adult_body_length_mm,Weight_min_g,Weight_max_g,Weight_mean_g,diet_invert,diet_vert_endoterm,diet_vert_ectoterm,diet_vfish,diet_scavenger,diet_fruit,diet_nect,diet_seed,diet_plant_other,diet_gumivore,foraging_stratum,Potential_to_provide_services,cultural_service_charismatic_species,Ref_cultural_service,ecotourism,Ref_ecotourism,carrion_control,carrion_control_low_potential,Ref_carrion_control,pollination,pollination_low_potential,Ref_pollination,top_down_regulation,top_down_regulation_low_potential,Ref_top_down_regulation,seed_dispersal,seed_dispersal_low_potential,Ref_seed_dispersal,pest_and_disease_control,pest_and_disease_control_low_potential,Ref_pest_and_disease_control,nutrient_transporting_horizontal,nutrient_transporting_horizontal,nutrient_transporting_vertical,Ref_nutrient_transporting_vertical,nutrient_transporting_horizontal_and_vertical,nutrient_transporting_horizontal_and_vertical_low_potential,ecosystem_engineering,ecosystem_engineering_low_potential,Ref_ecosystem_engineering,rodent_control,rodent_control_low_potential,Ref_rodent_control,disease_sentinelling,disease_sentinelling_low_potential,Ref_disease_sentinelling,Provide_at_least_one_service,Number_of_services_provided
CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon grayi,NA,Gray's Beaked Whale,Mar,"Australia, Argentina, Uruguay, French Southern Territories, Chile, Heard Island and McDonald Islands, South Africa, New Zealand, Antarctica, Netherlands, Peru, Brazil, South Georgia and the South Sandwich Islands, Falkland Islands (Malvinas), Maldives, Namibia",Afrotropical|Antarctic|Australasian|Neotropical,Least Concern,2020,"Marine Oceanic - Bathypelagic (1000-4000m), Marine Oceanic - Mesopelagic (200-1000m), Marine Oceanic - Epipelagic (0-200m)",Unknown,NA,0,0,NA,NA,3900,1000000,NA,1000000,80,0,0,20,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon layardii,"Mesoplodon thomsoni, Mesoplodon floweri, Mesoplodon guntheri",Strap-toothed Whale,Mar,"New Zealand, French Southern Territories, Brazil, Falkland Islands (Malvinas), Uruguay, Heard Island and McDonald Islands, Chile, Antarctica, Argentina, Australia, South Africa, Myanmar, Namibia, South Georgia and the South Sandwich Islands",Afrotropical|Antarctic|Australasian|Neotropical,Least Concern,2020,"Marine Oceanic - Mesopelagic (200-1000m), Marine Oceanic - Epipelagic (0-200m), Marine Oceanic - Bathypelagic (1000-4000m)",Unknown,NA,0,0,NA,NA,4800,1000,200000,100500,80,0,0,20,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon mirus,NA,True's Beaked Whale,Mar,"Spain, Ireland, United Kingdom, France, Bermuda, Mozambique, South Africa, United States, Australia, Madagascar, Brazil, Portugal, Canada, Saint Helena, Ascension and Tristan da Cunha",Afrotropical|Australasian|Nearctic|Neotropical|Palearctic,Least Concern,2020,"Marine Oceanic - Mesopelagic (200-1000m), Marine Oceanic - Bathypelagic (1000-4000m), Marine Oceanic - Epipelagic (0-200m)",Unknown,NA,0,0,NA,NA,5190,1000,100000,50500,80,0,0,20,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CARNIVORA,PHOCIDAE,Mirounga leonina,Phoca leonina,Southern Elephant Seal,Mar,"South Georgia and the South Sandwich Islands, New Zealand, Peru, Bouvet Island, Brazil, Mauritius, Heard Island and McDonald Islands, Argentina, Saint Helena, Ascension and Tristan da Cunha, Australia, Oman, Mozambique, Antarctica, Falkland Islands (Malvinas), Angola, French Southern Territories, Namibia, Uruguay, Chile, South Africa, Ecuador",Afrotropical|Antarctic|Australasian|Neotropical,Least Concern,2015,"Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches, Marine Intertidal - Rocky Shoreline, Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc, Marine Oceanic - Bathypelagic (1000-4000m), Marine Neritic - Pelagic, Marine Oceanic - Epipelagic (0-200m), Marine Oceanic - Mesopelagic (200-1000m), Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands",Stable,NA,0,0,NA,NA,6337,2425000,NA,2425001,60,0,0,40,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,DELPHINIDAE,Orcinus orca,"Orcinus glacialis, Delphinus orca, Orcinus nanus",Killer Whale,Mar,"Chile, Trinidad and Tobago, Réunion, United States, Saint Vincent and the Grenadines, Namibia, Dominica, Nigeria, Aruba, Senegal, Brazil, Spain, Saint Helena, Ascension and Tristan da Cunha, Canada, Cuba, Cayman Islands, Saint Pierre and Miquelon, Sao Tome and Principe, Norway, Falkland Islands (Malvinas), Liberia, Madagascar, Portugal, Antigua and Barbuda, Ecuador, Kenya, Monaco, Colombia, Mayotte, Montenegro, Virgin Islands, British, Mozambique, Mauritania, Turks and Caicos Islands, Netherlands, American Samoa, Nicaragua, Panama, Argentina, Gabon, Antarctica, Wallis and Futuna, Christmas Island, Eritrea, Vanuatu, Equatorial Guinea, Australia, Mexico, Martinique, Guinea-Bissau, Jamaica, Bermuda, Guinea, Saint Lucia, Ghana, Barbados, Saint Kitts and Nevis, Gambia, Montserrat, Western Sahara, Haiti, Congo, Guadeloupe, Comoros, Morocco, Russian Federation, Tunisia, Cabo Verde, Djibouti, Libya, Algeria, Côte d'Ivoire, Grenada, Taiwan, Province of China, Egypt, Congo, The Democratic Republic of the, Dominican Republic, Korea, Republic of, Niue, Philippines, Gibraltar, Norfolk Island, Peru, Malta, Cocos (Keeling) Islands, Suriname, Bahrain, Iran, Islamic Republic of, Uruguay, Fiji, Cook Islands, Cyprus, Italy, Venezuela, Bolivarian Republic of, French Guiana, Ireland, Kuwait, South Georgia and the South Sandwich Islands, Israel, French Polynesia, Guyana, Lebanon, Kiribati, Virgin Islands, U.S., Guam, Marshall Islands, China, New Caledonia, Sudan, Finland, Nauru, Bangladesh, Togo, France, British Indian Ocean Territory, New Zealand, Brunei Darussalam, Germany, Tanzania, United Republic of, Faroe Islands, Somalia, Micronesia, Federated States of , Denmark, India, South Africa, Seychelles, Puerto Rico, Croatia, Sierra Leone, Cambodia, Belgium, French Southern Territories, Guatemala, United Arab Emirates, Timor-Leste, Honduras, Turkey, Viet Nam, Syrian Arab Republic, Sri Lanka, United States Minor Outlying Islands, Costa Rica, Saudi Arabia, Thailand, El Salvador, Tuvalu, Benin, Tonga, Belize, Tokelau, Qatar, Cameroon, Pakistan, United Kingdom, Bahamas, Oman, Angola, Solomon Islands, Samoa, Korea, Democratic People's Republic of, Sweden, Maldives, Pitcairn, Heard Island and McDonald Islands, Indonesia, Papua New Guinea, Iceland, Japan, Malaysia, Svalbard and Jan Mayen, Hong Kong, Singapore, Greece, Palau, Northern Mariana Islands, Greenland, Yemen, Myanmar, Saint Barthélemy, Curaçao, Anguilla, Bonaire, Sint Eustatius and Saba, Saint Martin (French part), Sint Maarten (Dutch part)",Afrotropical|Antarctic|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Data Deficient,2017,"Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Estuaries, Marine Neritic - Pelagic, Marine Oceanic - Mesopelagic (200-1000m)",Unknown,NA,0,0,NA,NA,9226,75000,75001,75001,25,50,0,25,0,0,0,0,0,0,marine,0,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CARNIVORA,OTARIIDAE,Otaria byronia,"Phoca flavescens, Otaria flavescens, Phoca byronia",South American Sea Lion,NA,"Uruguay, Peru, Falkland Islands (Malvinas), Ecuador, Chile, Brazil, Colombia, Argentina",Neotropical,Least Concern,2016,"Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands, Marine Intertidal - Rocky Shoreline, Marine Neritic - Pelagic, Marine Oceanic - Epipelagic (0-200m), Marine Intertidal - Tidepools, Marine Oceanic - Mesopelagic (200-1000m), Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc, Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches, Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)",Stable,NA,NA,NA,NA,NA,NA,140000,350000,245000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,DELPHINIDAE,Peponocephala electra,"Electra electra, Lagenorhynchus electra",Melon-headed Whale,Mar,"Taiwan, Province of China, Puerto Rico, Anguilla, Grenada, Tuvalu, Angola, Namibia, Yemen, Tanzania, United Republic of, New Caledonia, Palau, Antigua and Barbuda, Trinidad and Tobago, Japan, Oman, Nauru, Bahamas, France, Brazil, Jamaica, Mayotte, French Guiana, Niue, Togo, Gabon, Réunion, Papua New Guinea, Côte d'Ivoire, Peru, Suriname, Guinea, Somalia, Senegal, Gambia, Cayman Islands, Pakistan, Sierra Leone, Maldives, Timor-Leste, Guam, Tonga, Pitcairn, Djibouti, Thailand, Guyana, Morocco, Guinea-Bissau, Sao Tome and Principe, Vanuatu, Samoa, Bangladesh, Malaysia, Barbados, Mozambique, United States, Kenya, Mexico, Benin, Bermuda, Cambodia, Guatemala, Kiribati, Mauritius, Seychelles, Korea, Republic of, Korea, Democratic People's Republic of, Brunei Darussalam, Myanmar, Belize, Virgin Islands, U.S., Micronesia, Federated States of , Ecuador, Fiji, El Salvador, Viet Nam, Saint Lucia, French Polynesia, Saint Helena, Ascension and Tristan da Cunha, Mauritania, Cabo Verde, Northern Mariana Islands, Martinique, Singapore, Equatorial Guinea, Cuba, Comoros, Philippines, Saint Kitts and Nevis, Guadeloupe, Wallis and Futuna, American Samoa, Uruguay, Aruba, Haiti, Dominican Republic, Saint Vincent and the Grenadines, Indonesia, Australia, Solomon Islands, Iran, Islamic Republic of, Western Sahara, Cook Islands, Nicaragua, Nigeria, Cameroon, India, Venezuela, Bolivarian Republic of, Sri Lanka, Hong Kong, Virgin Islands, British, Colombia, Panama, Liberia, Costa Rica, Ghana, Congo, The Democratic Republic of the, Honduras, Marshall Islands, Cocos (Keeling) Islands, Madagascar, South Africa, Dominica, Congo, Saint Martin (French part), Saint Barthélemy, Curaçao, Bonaire, Sint Eustatius and Saba, Montserrat, Sint Maarten (Dutch part), Turks and Caicos Islands",Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian,Least Concern,2019,"Marine Oceanic - Mesopelagic (200-1000m), Marine Oceanic - Bathypelagic (1000-4000m), Marine Oceanic - Epipelagic (0-200m)",Unknown,NA,0,0,NA,NA,2800,150000,150000,150000,40,0,0,60,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,PHOCOENIDAE,Phocoena dioptrica,Australophocaena dioptrica,Spectacled Porpoise,Mar,"Uruguay, Heard Island and McDonald Islands, Australia, Chile, Brazil, Falkland Islands (Malvinas), New Zealand, Antarctica, South Georgia and the South Sandwich Islands, Argentina, French Southern Territories",Antarctic|Neotropical,Least Concern,2018,"Marine Neritic - Pelagic, Marine Oceanic - Epipelagic (0-200m)",Unknown,NA,0,0,NA,NA,2020,90000,90000,90000,0,0,0,100,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,PHOCOENIDAE,Phocoena spinipinnis,NA,Burmeister's Porpoise,Mar,"Chile, Peru, Brazil, Argentina, Uruguay",Neotropical,Near Threatened,2018,"Marine Neritic - Pelagic, Marine Oceanic - Epipelagic (0-200m)",Unknown,NA,0,0,NA,NA,1500,75000,75000,75000,0,0,0,100,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,PHYSETERIDAE,Physeter macrocephalus,Physeter catodon,Sperm Whale,Mar,"Taiwan, Province of China, Korea, Republic of, Korea, Democratic People's Republic of, Japan, Hong Kong, Yemen, United Arab Emirates, Turkey, Syrian Arab Republic, Saudi Arabia, Qatar, Palestine, State of, Pakistan, Oman, Lebanon, Israel, Iran, Islamic Republic of, Cyprus, Togo, Tanzania, United Republic of, Sudan, South Africa, Somalia, Sierra Leone, Seychelles, Senegal, Sao Tome and Principe, Saint Helena, Ascension and Tristan da Cunha, Réunion, Nigeria, Namibia, Mozambique, Mayotte, Mauritius, Mauritania, Madagascar, Liberia, Kenya, Guinea-Bissau, Guinea, Ghana, Gambia, Gabon, Eritrea, Equatorial Guinea, Djibouti, Côte d'Ivoire, Congo, The Democratic Republic of the, Congo, Comoros, Cabo Verde, Cameroon, Benin, Angola, Viet Nam, Timor-Leste, Thailand, Sri Lanka, Singapore, Philippines, Myanmar, Maldives, Malaysia, Indonesia, China, India, Cambodia, Brunei Darussalam, British Indian Ocean Territory, Bangladesh, Venezuela, Bolivarian Republic of, Uruguay, Suriname, Peru, Virgin Islands, U.S., Guyana, French Guiana, Falkland Islands (Malvinas), Ecuador, Colombia, Virgin Islands, British, Turks and Caicos Islands, Chile, Trinidad and Tobago, Sint Maarten (Dutch part), Saint Vincent and the Grenadines, Brazil, Saint Martin (French part), Saint Lucia, Tunisia, Morocco, Libya, Egypt, Algeria, Panama, Nicaragua, Bonaire, Sint Eustatius and Saba, Antarctica, Bermuda, Mexico, Barbados, Honduras, Guatemala, El Salvador, Costa Rica, Belize, Bahamas, United Kingdom, Sweden, Spain, Aruba, Greenland, Greece, Gibraltar, Germany, France, Faroe Islands, Denmark, Croatia, Bosnia and Herzegovina, Belgium, Albania, South Georgia and the South Sandwich Islands, Iceland, Ireland, Italy, Anguilla, Malta, Monaco, Montenegro, Netherlands, Norway, Portugal, Antigua and Barbuda, Slovenia, Western Sahara, Cayman Islands, Canada, Saint Pierre and Miquelon, United States, Curaçao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Russian Federation, Jamaica, Martinique, Montserrat, American Samoa, Australia, Christmas Island, Cocos (Keeling) Islands, Cook Islands, Fiji, French Polynesia, Guam, Kiribati, Puerto Rico, Marshall Islands, Micronesia, Federated States of , Nauru, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Pitcairn, Samoa, Solomon Islands, Tokelau, Tonga, Tuvalu, United States Minor Outlying Islands, French Southern Territories, Vanuatu, Wallis and Futuna, Argentina, Saint Kitts and Nevis",Afrotropical|Antarctic|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Vulnerable,2019,"Marine Oceanic - Mesopelagic (200-1000m), Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Pelagic",Unknown,NA,0,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,PONTOPORIIDAE,Pontoporia blainvillei,NA,Franciscana,Mar,"Uruguay, Brazil, Uruguay, Argentina, Brazil",Neotropical,"Vulnerable, Vulnerable","2012, 2017","Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Pelagic, Marine Neritic - Pelagic, Marine Oceanic - Epipelagic (0-200m)","Decreasing, Decreasing",NA,0,0,NA,NA,1750,NA,NA,NA,40,0,0,60,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,DELPHINIDAE,Pseudorca crassidens,Phocaena crassidens,False Killer Whale,Mar,"Taiwan, Province of China, Korea, Republic of, Korea, Democratic People's Republic of, Japan, Hong Kong, Yemen, United Arab Emirates, Turkmenistan, Syrian Arab Republic, Saudi Arabia, Qatar, Palestine, State of, Pakistan, Oman, Lebanon, Kuwait, Jordan, Israel, Iraq, Iran, Islamic Republic of, Cyprus, Togo, Tanzania, United Republic of, Sudan, South Africa, Somalia, Sierra Leone, Seychelles, Senegal, Sao Tome and Principe, Saint Helena, Ascension and Tristan da Cunha, Réunion, Nigeria, Namibia, Mozambique, Mayotte, Mauritius, Mauritania, Madagascar, Liberia, Kenya, Guinea-Bissau, Guinea, Ghana, Gambia, Gabon, Eritrea, Equatorial Guinea, Djibouti, Côte d'Ivoire, Congo, The Democratic Republic of the, Congo, Comoros, Cabo Verde, Cameroon, Benin, Angola, Viet Nam, Timor-Leste, Thailand, Sri Lanka, Singapore, Philippines, Myanmar, Maldives, Malaysia, Indonesia, China, India, Cambodia, Brunei Darussalam, British Indian Ocean Territory, Bangladesh, Venezuela, Bolivarian Republic of, Uruguay, Suriname, Peru, Virgin Islands, U.S., Guyana, French Guiana, Ecuador, Colombia, Virgin Islands, British, Turks and Caicos Islands, United States, Saint Pierre and Miquelon, Cuba, Canada, Cayman Islands, Western Sahara, Tunisia, Morocco, Libya, Egypt, Panama, Nicaragua, Bonaire, Sint Eustatius and Saba, Bermuda, Mexico, Barbados, Honduras, Guatemala, El Salvador, Costa Rica, Belize, Bahamas, Malta, Anguilla, Italy, Ireland, Greece, Gibraltar, Germany, France, Denmark, Croatia, Bosnia and Herzegovina, Belgium, Monaco, Montenegro, Netherlands, Norway, Poland, Portugal, Antigua and Barbuda, Slovenia, Aruba, Spain, Sweden, United Kingdom, Curaçao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Russian Federation, Jamaica, Martinique, Montserrat, American Samoa, Australia, Christmas Island, Cocos (Keeling) Islands, Cook Islands, Fiji, French Polynesia, Guam, Kiribati, Puerto Rico, Marshall Islands, Micronesia, Federated States of , Nauru, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Pitcairn, Samoa, Solomon Islands, Tokelau, Tonga, Tuvalu, Vanuatu, Wallis and Futuna, Argentina, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Brazil, Saint Vincent and the Grenadines, Sint Maarten (Dutch part), Trinidad and Tobago, Chile",Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Near Threatened,2018,"Marine Oceanic - Bathypelagic (1000-4000m), Marine Oceanic - Mesopelagic (200-1000m), Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Pelagic",Unknown,NA,0,0,NA,NA,6100,1000,150000,75500,60,10,0,30,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,DELPHINIDAE,Stenella attenuata,"Stenella graffmani, Steno attenuatus",Pantropical Spotted Dolphin,Mar,"Tokelau, Iraq, Cabo Verde, Iran, Islamic Republic of, Comoros, Tonga, Tuvalu, Bahrain, Congo, Guadeloupe, Haiti, Jordan, Congo, The Democratic Republic of the, Israel, Côte d'Ivoire, Jamaica, Argentina, Djibouti, Equatorial Guinea, Saint Kitts and Nevis, South Africa, Somalia, Saint Lucia, Eritrea, Togo, Vanuatu, Wallis and Futuna, Tanzania, United Republic of, Sudan, Western Sahara, Myanmar, Maldives, Egypt, Sao Tome and Principe, Philippines, Cayman Islands, Réunion, Saint Helena, Ascension and Tristan da Cunha, Anguilla, Solomon Islands, El Salvador, Gambia, Gabon, Indonesia, Costa Rica, New Caledonia, Australia, Korea, Democratic People's Republic of, Trinidad and Tobago, Saint Vincent and the Grenadines, Cocos (Keeling) Islands, Korea, Republic of, New Zealand, Niue, Cook Islands, Taiwan, Province of China, Brazil, Fiji, Hong Kong, Virgin Islands, British, Northern Mariana Islands, Turks and Caicos Islands, Palau, Yemen, Colombia, Peru, Marshall Islands, Kuwait, Oman, Virgin Islands, U.S., Micronesia, Federated States of , American Samoa, Guyana, Nauru, Pakistan, Montserrat, United Arab Emirates, Martinique, Puerto Rico, Ecuador, Kiribati, French Guiana, Saudi Arabia, Nicaragua, Guam, Japan, French Polynesia, Belize, Malaysia, Bahamas, Cambodia, Samoa, Antigua and Barbuda, China, Papua New Guinea, India, Pitcairn, Aruba, Bangladesh, Liberia, Bermuda, Venezuela, Bolivarian Republic of, Guinea-Bissau, Barbados, Brunei Darussalam, Mexico, Kenya, Honduras, Suriname, Guinea, Uruguay, Ghana, Guatemala, Mozambique, United States, Cameroon, Dominica, Angola, Cuba, Nigeria, Benin, Grenada, Viet Nam, Madagascar, Mauritius, Timor-Leste, Mauritania, Dominican Republic, Sri Lanka, Panama, Thailand, Senegal, Singapore, Sierra Leone, Seychelles, Sint Maarten (Dutch part), Saint Martin (French part), Curaçao, Bonaire, Sint Eustatius and Saba, Mayotte",Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Least Concern,2018,"Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Pelagic",Unknown,NA,0,0,NA,NA,2135,100000,100000,100000,60,0,0,40,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,DELPHINIDAE,Stenella clymene,NA,Clymene Dolphin,Mar,"Equatorial Guinea, Mexico, Montserrat, Bermuda, Ghana, Côte d'Ivoire, Congo, Jamaica, Nicaragua, Cuba, Nigeria, Aruba, French Guiana, Virgin Islands, U.S., Antigua and Barbuda, Mauritania, Liberia, Guyana, Suriname, Costa Rica, Senegal, Guatemala, Sierra Leone, Cameroon, Angola, Togo, Honduras, Benin, Barbados, Venezuela, Bolivarian Republic of, Saint Helena, Ascension and Tristan da Cunha, Bahamas, Belize, Sao Tome and Principe, Colombia, Guinea, Guinea-Bissau, Cayman Islands, Turks and Caicos Islands, Anguilla, Virgin Islands, British, Dominica, Gambia, Trinidad and Tobago, Gabon, Dominican Republic, Saint Vincent and the Grenadines, United States, Brazil, Guadeloupe, Saint Lucia, Grenada, Saint Kitts and Nevis, Puerto Rico, Cabo Verde, Martinique, Panama, Haiti, Sint Maarten (Dutch part), Saint Martin (French part), Curaçao, Bonaire, Sint Eustatius and Saba, Congo, The Democratic Republic of the",Afrotropical|Nearctic|Neotropical,Least Concern,2018,"Marine Neritic - Pelagic, Marine Oceanic - Epipelagic (0-200m)",Unknown,NA,0,0,NA,NA,2520,100000,100000,100000,60,0,0,40,0,0,0,0,0,0,marine,1,1,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
