"Ecosystem_service","Variable","Degrees_of_freedom","F_statistic","P_value","Adjusted_R_Squared","Deviance_Explained"
"cultural_service_charismatic_species","Distance to MCP border",1.06395330335053,108.08215650069,0,0.241933828111709,315035.549757094
"cultural_service_charismatic_species","Frequency",2.94722930647987,153.962153359469,0,0.601408612304817,164809.284412845
"cultural_service_charismatic_species","Frequency Weighted Distance",4.25499990891825,180.127337741521,0,0.717269854990289,116491.036629435
"cultural_service_charismatic_species","Isolation (1st Qu.)",4.2968816390118,10.8644469156125,0,0.130138197981174,358361.592706507
"cultural_service_charismatic_species","Isolation (3rd Qu.)",5.73350041747231,23.5245903199445,0,0.302092230523312,286403.50666679
"cultural_service_charismatic_species","Isolation (Max.)",6.80449910590585,34.5369024080245,0,0.4212471425783,236814.659898285
"cultural_service_charismatic_species","Isolation (Mean)",5.44442343072826,23.4365299874832,0,0.2879952621843,292417.900399476
"cultural_service_charismatic_species","Isolation (Median)",4.3825915806324,21.5055605246452,0,0.236179829225109,314602.105390565
"cultural_service_charismatic_species","Isolation (Min.)",4.25610554780487,2.54315695631819,0.0283641045230533,0.0282766915880628,400370.172836656
"cultural_service_charismatic_species","Mean Distance to midpoint",1.00000000054248,0.60279449958662,0.438005748036948,-0.00106317593426852,416091.076591624
"cultural_service_charismatic_species","Minimum 10% Zero Distance",2.34212580658444,9.10919175696231,1.33326851974314e-05,0.0648371366759877,387301.050229662
"cultural_service_charismatic_species","Minimum Zero Distance",1.06395330335053,108.08215650069,0,0.241933828111709,315035.549757094
"cultural_service_charismatic_species","Weighted Mean Distance to midpoint",3.66300855469558,103.652197272892,0,0.559601150222452,181744.532333855
"ecotourism","Distance to MCP border",2.24221171057409,54.6799741803151,0,0.287657877467124,3138.73168550775
"ecotourism","Frequency",3.91521823489968,61.0961004486374,0,0.440804525014463,2452.84646866477
"ecotourism","Frequency Weighted Distance",5.83907704540689,290.926652333028,0,0.844574446905413,678.212205759368
"ecotourism","Isolation (1st Qu.)",3.71224719390649,6.12709160218152,5.86398972960978e-05,0.0664971996294695,4096.94810693117
"ecotourism","Isolation (3rd Qu.)",4.86006493173042,20.7440980164049,0,0.246335872619843,3297.42074421241
"ecotourism","Isolation (Max.)",6.22291183685092,37.3502830342363,0,0.423399507894834,2513.42059056143
"ecotourism","Isolation (Mean)",4.54402297120397,25.2727790962547,0,0.271780023723185,3188.82565222692
"ecotourism","Isolation (Median)",3.80336141420246,18.2718312103989,0,0.187436634073489,3565.29277730538
"ecotourism","Isolation (Min.)",5.21116340649505,2.76927876562028,0.0103540755323693,0.0390595009415766,4200.29461371692
"ecotourism","Mean Distance to midpoint",1.00000000123211,8.43307188258572,0.00390366400828601,0.0194872245145079,4334.78516440727
"ecotourism","Minimum 10% Zero Distance",3.42100548249078,7.78131834732545,3.67249936450431e-06,0.080042653778937,4040.67555515159
"ecotourism","Minimum Zero Distance",2.24221171057409,54.6799741803151,0,0.287657877467124,3138.73168550775
"ecotourism","Weighted Mean Distance to midpoint",4.41129938770339,199.100294309826,0,0.744107835386312,1120.93689272656
"carrion_control","Distance to MCP border",2.31006124050172,83.0000629268608,0,0.3881224428758,6113.17079739198
"carrion_control","Frequency",4.21116093434201,66.8919220475552,0,0.480504186407653,5163.65302169179
"carrion_control","Frequency Weighted Distance",5.38157610818146,324.397603782601,0,0.849710163998687,1489.11366406929
"carrion_control","Isolation (1st Qu.)",4.10392457052636,5.74343228410898,5.78403371142011e-05,0.0673953271110128,9272.53563461963
"carrion_control","Isolation (3rd Qu.)",5.21185278093959,22.1947309874026,0,0.271652158725849,7219.99658495554
"carrion_control","Isolation (Max.)",6.74964841600498,51.6128518549001,0,0.519950122295809,4738.81532136921
"carrion_control","Isolation (Mean)",5.09474282209111,26.2378361568715,0,0.298557102145323,6955.50019190228
"carrion_control","Isolation (Median)",3.7592984910688,20.1223155536733,0,0.200339843081233,7958.12613360075
"carrion_control","Isolation (Min.)",5.37360929916814,3.53848701327936,0.00141041594400881,0.0523399681479766,9389.88316857336
"carrion_control","Mean Distance to midpoint",1.0000000005142,23.0218256433423,2.4965468863325e-06,0.0556076060456847,9468.52898072179
"carrion_control","Minimum 10% Zero Distance",4.16788982446411,12.230385675959,0,0.143420166966022,8515.17663370754
"carrion_control","Minimum Zero Distance",2.31006124050172,83.0000629268608,0,0.3881224428758,6113.17079739198
"carrion_control","Weighted Mean Distance to midpoint",3.60918268725288,308.307703418748,0,0.789107773867909,2099.62619611997
"pollination","Distance to MCP border",2.08157756224534,38.5861514733812,0,0.209162986009338,55072.8155831215
"pollination","Frequency",3.47585420118507,44.8012361438073,0,0.340958422596333,45722.7065378481
"pollination","Frequency Weighted Distance",3.43884571129033,229.016117741396,0,0.725483470884205,19047.1933893891
"pollination","Isolation (1st Qu.)",3.70558029726496,8.24128373715469,1.57690409718914e-06,0.0879519264309586,63236.4526130804
"pollination","Isolation (3rd Qu.)",5.25638673810484,23.4693847880583,0,0.28425596714139,49417.9635263229
"pollination","Isolation (Max.)",7.10974469556425,43.1986088470546,0,0.484857842754496,35388.8028058802
"pollination","Isolation (Mean)",5.84174819003016,25.2526572460083,0,0.315255722728787,47202.5598953625
"pollination","Isolation (Median)",3.55738377115355,22.9429078384874,0,0.212435137483189,54627.3176469181
"pollination","Isolation (Min.)",3.33763060679993,1.86454236149814,0.113529160225792,0.0155127571754563,68326.8173684868
"pollination","Mean Distance to midpoint",1.35110372672935,3.01959894382507,0.0392742654213108,0.0138356815272846,68810.0265777506
"pollination","Minimum 10% Zero Distance",2.79349922166845,7.65083041021548,2.38151474372117e-05,0.0678431902233564,64789.8763933947
"pollination","Minimum Zero Distance",2.08157756224534,38.5861514733812,0,0.209162986009338,55072.8155831215
"pollination","Weighted Mean Distance to midpoint",3.34324736597304,155.085269123124,0,0.635545762818283,25294.0004424244
"top_down_regulation","Distance to MCP border",2.93605978814332,46.3727138056447,0,0.308805837135108,182.139979041701
"top_down_regulation","Frequency",4.18453961737066,34.601714502965,0,0.322051627276374,178.048432382278
"top_down_regulation","Frequency Weighted Distance",4.17255315659142,225.680111759838,0,0.757444761450296,63.7039360092447
"top_down_regulation","Isolation (1st Qu.)",3.42185437367023,4.07399950138523,0.00284701549524979,0.0402640383740837,252.57365009514
"top_down_regulation","Isolation (3rd Qu.)",2.72897885545697,23.0486306385767,0,0.172912586872425,218.07151094038
"top_down_regulation","Isolation (Max.)",5.00189156736462,33.3326370075332,0,0.351344002750207,169.978912416844
"top_down_regulation","Isolation (Mean)",3.66305939381941,22.45495921449,0,0.214093973358993,206.69221631098
"top_down_regulation","Isolation (Median)",3.2390669576963,13.6189042851162,0,0.126854514826759,229.898981693724
"top_down_regulation","Isolation (Min.)",6.27879729678455,2.06495447603906,0.0562364893798788,0.0292929909788817,253.49144430258
"top_down_regulation","Mean Distance to midpoint",2.63790174224215,10.9197980846688,7.34656907919184e-07,0.0874688392095693,240.658801176709
"top_down_regulation","Minimum 10% Zero Distance",5.23290735995042,4.61252475635365,0.000115437634610693,0.069788974899908,243.60719458596
"top_down_regulation","Minimum Zero Distance",2.93605978814332,46.3727138056447,0,0.308805837135108,182.139979041701
"top_down_regulation","Weighted Mean Distance to midpoint",6.27727334990627,147.891432123954,0,0.746006969969565,66.3282805808907
"seed_dispersal","Distance to MCP border",1.77194356223876,48.8544668491911,0,0.222367783051496,998784.147842557
"seed_dispersal","Frequency",2.96842149316562,94.3881511525353,0,0.482820416803501,662125.840249862
"seed_dispersal","Frequency Weighted Distance",3.90334989761168,204.017418209361,0,0.726265664491887,349568.846434549
"seed_dispersal","Isolation (1st Qu.)",3.98986551248169,10.3212728486202,0,0.117525176610907,1126689.46812936
"seed_dispersal","Isolation (3rd Qu.)",5.5058496046696,23.5125693166919,0,0.294315344341002,897283.256175198
"seed_dispersal","Isolation (Max.)",7.0241324095831,36.1376406078934,0,0.438205277405633,711382.950458453
"seed_dispersal","Isolation (Mean)",5.56409868357426,23.7592317549923,0,0.293964499154102,897587.451399858
"seed_dispersal","Isolation (Median)",4.07959825805892,22.1817311416801,0,0.230156279541641,982650.652658578
"seed_dispersal","Isolation (Min.)",3.57203316970094,1.7417800226266,0.119941722929607,0.015987520775533,1257745.19064761
"seed_dispersal","Mean Distance to midpoint",1.00000000095907,1.07854846029237,0.299695109651071,0.000209978530114063,1286784.79633653
"seed_dispersal","Minimum 10% Zero Distance",2.44941712210703,7.22028615448241,8.48833371291935e-05,0.0557793613178476,1210541.62425063
"seed_dispersal","Minimum Zero Distance",1.77194356223876,48.8544668491911,0,0.222367783051496,998784.147842557
"seed_dispersal","Weighted Mean Distance to midpoint",3.71795694651615,114.879823892273,0,0.588089871475778,526287.934434723
"pest_and_disease_control","Distance to MCP border",2.20945517634993,46.3660437601976,0,0.25208233788363,263696.57740765
"pest_and_disease_control","Frequency",3.6664419319197,61.0733675570546,0,0.426056189547752,201564.85358544
"pest_and_disease_control","Frequency Weighted Distance",3.62625634423967,373.494444725987,0,0.819232791151767,63491.0057287458
"pest_and_disease_control","Isolation (1st Qu.)",3.68240056364436,7.14506925676545,9.65702368443955e-06,0.0771740058983301,324075.749885155
"pest_and_disease_control","Isolation (3rd Qu.)",5.25332379410324,21.6684886993236,0,0.268043853447295,255956.132532031
"pest_and_disease_control","Isolation (Max.)",6.50758483349977,41.2234006178673,0,0.457095527740443,189201.32003384
"pest_and_disease_control","Isolation (Mean)",5.49724965450127,23.2196196747414,0,0.286327978824255,249397.311524297
"pest_and_disease_control","Isolation (Median)",3.82130213110817,20.188921273041,0,0.203468399944964,279619.075964825
"pest_and_disease_control","Isolation (Min.)",4.65700624101588,2.46311721621723,0.030657884825293,0.0294472655676105,339939.291984713
"pest_and_disease_control","Mean Distance to midpoint",1.4420400749557,2.97504900899673,0.0384155391262835,0.0147124364802251,348104.157980665
"pest_and_disease_control","Minimum 10% Zero Distance",2.81322807936955,8.99124543425332,3.48099187924555e-06,0.0784411123021176,324390.364415032
"pest_and_disease_control","Minimum Zero Distance",2.20945517634993,46.3660437601976,0,0.25208233788363,263696.57740765
"pest_and_disease_control","Weighted Mean Distance to midpoint",4.01838905902957,194.291184601886,0,0.722270440108334,97443.8888908436
"nutrient_transporting_horizontal_and_vertical","Distance to MCP border",2.33157218176754,56.6355036755331,0,0.303419558616827,28575.7152259609
"nutrient_transporting_horizontal_and_vertical","Frequency",3.84408010282103,73.3516540219402,0,0.482984550592013,21123.1353943042
"nutrient_transporting_horizontal_and_vertical","Frequency Weighted Distance",4.15934845870846,395.436978026613,0,0.845157401573122,6320.84671719873
"nutrient_transporting_horizontal_and_vertical","Isolation (1st Qu.)",3.90667260905006,6.69051856937877,1.51531551375039e-05,0.0763269199449139,37731.1206258159
"nutrient_transporting_horizontal_and_vertical","Isolation (3rd Qu.)",4.44945303824052,23.3400331936073,0,0.253798032140918,30436.8989123803
"nutrient_transporting_horizontal_and_vertical","Isolation (Max.)",5.77466669328189,43.5762996005939,0,0.446682565994413,22488.3804915006
"nutrient_transporting_horizontal_and_vertical","Isolation (Mean)",4.64542054085896,25.42144757798,0,0.276717123565497,29486.4055133471
"nutrient_transporting_horizontal_and_vertical","Isolation (Median)",3.6827441809305,20.2733831079571,0,0.198655330892627,32753.9335921879
"nutrient_transporting_horizontal_and_vertical","Isolation (Min.)",5.32559404171844,2.87934837124918,0.00744658393415171,0.0416344807610103,38998.1792938418
"nutrient_transporting_horizontal_and_vertical","Mean Distance to midpoint",1.0000000003732,6.02993054911949,0.0145206400340309,0.0132705365690822,40623.4768394275
"nutrient_transporting_horizontal_and_vertical","Minimum 10% Zero Distance",3.41484907217537,8.23731278335208,1.77856792166198e-06,0.0838803644974463,37472.301489569
"nutrient_transporting_horizontal_and_vertical","Minimum Zero Distance",2.33157218176754,56.6355036755331,0,0.303419558616827,28575.7152259609
"nutrient_transporting_horizontal_and_vertical","Weighted Mean Distance to midpoint",3.68788118134108,233.162291575397,0,0.742571521429675,10521.9122955941
"ecosystem_engineering","Distance to MCP border",2.86841110606795,48.5887961335259,0,0.314385129919187,4319.17529120981
"ecosystem_engineering","Frequency",3.99569046024941,57.5654980842377,0,0.432369391944607,3565.04707468332
