es_SA,data,model_null,model_2,model_3,model_4,model_5,model_6,model_7,model_original,R_sq,Deviance_Explained,n,Variavel,edf,Ref_df,F_statistic,p_value
cultural_service_charismatic_species,,,,,,,,,,0.9156053790518424,0.9246603231883664,375,s(Isolation_Mean),7.960927859288509,8.686021283915508,533.7216789151978,0
cultural_service_charismatic_species,,,,,,,,,,0.9156053790518424,0.9246603231883664,375,s(Temperature),8.89996284686289,8.995198733090824,2196.0203080766173,0
cultural_service_charismatic_species,,,,,,,,,,0.9156053790518424,0.9246603231883664,375,s(Precipitation_Log),8.669766749891263,8.960592880317522,1204.6400336780496,0
ecotourism,,,,,,,,,,0.9072955777727891,0.882350981017846,375,s(Isolation_Mean),3.9062592239679947,4.784245464403232,47.30011806217931,0
ecotourism,,,,,,,,,,0.9072955777727891,0.882350981017846,375,s(Temperature),4.376579607202326,5.381406018903243,258.34871200422236,0
ecotourism,,,,,,,,,,0.9072955777727891,0.882350981017846,375,s(Precipitation_Log),3.436398060890477,4.318610098683506,117.63355904278554,0
carrion_control,,,,,,,,,,0.9044909245351186,0.8820724923006127,375,s(Isolation_Mean),5.015778078566631,6.049195376565215,92.20243557171881,0
carrion_control,,,,,,,,,,0.9044909245351186,0.8820724923006127,375,s(Temperature),7.682518698521332,8.450150885068359,442.46672525585194,0
carrion_control,,,,,,,,,,0.9044909245351186,0.8820724923006127,375,s(Precipitation_Log),5.875740619746841,6.956998303626431,169.16829580606083,0
pollination,,,,,,,,,,0.8606769975677024,0.8165227370492618,375,s(Isolation_Mean),7.090736148689205,8.078655151393656,284.9077697429631,0
pollination,,,,,,,,,,0.8606769975677024,0.8165227370492618,375,s(Temperature),6.634135255025355,7.525669704238808,827.0935288129185,0
pollination,,,,,,,,,,0.8606769975677024,0.8165227370492618,375,s(Precipitation_Log),7.626974676105654,8.45149274523686,623.8370968305226,0
top_down_regulation,,,,,,,,,,0.7510452857795984,0.7025088599590386,375,s(Isolation_Mean),1.6748352561885234,2.102790297336919,4.901031537919743,0.09956293426602336
top_down_regulation,,,,,,,,,,0.7510452857795984,0.7025088599590386,375,s(Temperature),2.8981798438675557,3.6280729851972375,36.65985842021455,3.934746347078466e-7
top_down_regulation,,,,,,,,,,0.7510452857795984,0.7025088599590386,375,s(Precipitation_Log),2.8116447822316673,3.5603350984912887,24.359623006224766,6.9903790666348e-5
seed_dispersal,,,,,,,,,,0.9060146489874037,0.8902790670048322,375,s(Isolation_Mean),7.493055086051929,8.384363862487094,968.543971237861,0
seed_dispersal,,,,,,,,,,0.9060146489874037,0.8902790670048322,375,s(Temperature),7.637768841742805,8.2595012896295,3390.3890961426705,0
seed_dispersal,,,,,,,,,,0.9060146489874037,0.8902790670048322,375,s(Precipitation_Log),8.405143655787587,8.873821803339315,2471.413978760586,0
pest_and_disease_control,,,,,,,,,,0.9206190530773842,0.8892819464258641,375,s(Isolation_Mean),6.855845509585085,7.893891689568937,411.903140517095,0
pest_and_disease_control,,,,,,,,,,0.9206190530773842,0.8892819464258641,375,s(Temperature),8.572972342508216,8.91432633001659,2457.664303431711,0
pest_and_disease_control,,,,,,,,,,0.9206190530773842,0.8892819464258641,375,s(Precipitation_Log),8.344301587992948,8.858326539537966,992.9886585338711,0
nutrient_transporting_horizontal_and_vertical,,,,,,,,,,0.9350693896100274,0.9275253858684471,375,s(Isolation_Mean),5.088216841564589,6.137368158877803,119.24955226624212,0
nutrient_transporting_horizontal_and_vertical,,,,,,,,,,0.9350693896100274,0.9275253858684471,375,s(Temperature),8.341887238951163,8.830182077927754,895.1546396415548,0
nutrient_transporting_horizontal_and_vertical,,,,,,,,,,0.9350693896100274,0.9275253858684471,375,s(Precipitation_Log),6.22449464937567,7.293358054485046,349.4380559412027,0
ecosystem_engineering,,,,,,,,,,0.9270293430183061,0.9159063012542605,375,s(Isolation_Mean),3.464215665516381,4.282073948607731,27.777475975786793,2.350316683757958e-5
ecosystem_engineering,,,,,,,,,,0.9270293430183061,0.9159063012542605,375,s(Temperature),4.938214822017901,5.828167607640135,270.459807115779,0
ecosystem_engineering,,,,,,,,,,0.9270293430183061,0.9159063012542605,375,s(Precipitation_Log),6.626931472677977,7.618731528180483,159.96158601416008,0
rodent_control,,,,,,,,,,0.8774200786615479,0.8340748705418554,375,s(Isolation_Mean),4.1831817889527745,5.11286692250944,106.057901263947,0
rodent_control,,,,,,,,,,0.8774200786615479,0.8340748705418554,375,s(Temperature),3.406860764048135,4.243557506645119,400.88762027502145,0
rodent_control,,,,,,,,,,0.8774200786615479,0.8340748705418554,375,s(Precipitation_Log),7.232268805407071,8.178281603953101,121.42370194616122,0
disease_sentinelling,,,,,,,,,,0.943411980782195,0.9111664665367971,375,s(Isolation_Mean),5.767171416979936,6.856940763675681,282.6290202612985,0
disease_sentinelling,,,,,,,,,,0.943411980782195,0.9111664665367971,375,s(Temperature),8.488566872846475,8.884988948946148,1740.6705057131255,0
disease_sentinelling,,,,,,,,,,0.943411980782195,0.9111664665367971,375,s(Precipitation_Log),5.405222265664006,6.494828315041312,576.7695818840582,0
total,,,,,,,,,,0.9274155970796909,0.9145664981622188,375,s(Isolation_Mean),8.465503573771947,8.90926361540619,2761.039561396804,0
total,,,,,,,,,,0.9274155970796909,0.9145664981622188,375,s(Temperature),8.959743736435783,8.99916540952584,12915.219309760474,0
total,,,,,,,,,,0.9274155970796909,0.9145664981622188,375,s(Precipitation_Log),8.897468583806088,8.995986790584315,6496.325632629719,0
