es_SA,Poisson_AIC,NB_AIC,Poisson_Deviance,NB_Deviance,Melhor_Modelo
cultural_service_charismatic_species,2579.9655465259975,2447.4956982904955,0.9367653286923475,0.9329515101849936,Negative Binomial
total,2228.9090795735956,2192.8883559700753,0.8445079855182459,0.7618872345318017,Negative Binomial
disease_sentinelling,4329.743871785807,3012.1061037898867,0.9000178719213,0.8426945166648595,Negative Binomial
seed_dispersal,3000.87757242,2742.015590896848,0.8929406967761919,0.8269763896028204,Negative Binomial
pest_and_disease_control,2205.7516011934454,2219.319292121524,0.9200242223350733,0.9181232893682632,Poisson
pollination,7781.159997441626,3902.7941108244654,0.9215767394420349,0.8832066651231306,Negative Binomial
